eBird_Clements_v2022,eBird_Clements_v2021,BirdLife_v3,BirdLife_v7,IOC_v13.1
Polyplectron chalcurum,Polyplectron chalcurum,Polyplectron chalcurum,Polyplectron chalcurum,Polyplectron chalcurum
Polyplectron inopinatum,Polyplectron inopinatum,Polyplectron inopinatum,Polyplectron inopinatum,Polyplectron inopinatum
Polyplectron germaini,Polyplectron germaini,Polyplectron germaini,Polyplectron germaini,Polyplectron germaini
Polyplectron bicalcaratum,Polyplectron bicalcaratum,Polyplectron bicalcaratum,Polyplectron bicalcaratum,Polyplectron bicalcaratum
Polyplectron malacense,Polyplectron malacense,Polyplectron malacense,Polyplectron malacense,Polyplectron malacense
Polyplectron schleiermacheri,Polyplectron schleiermacheri,Polyplectron schleiermacheri,Polyplectron schleiermacheri,Polyplectron schleiermacheri
Polyplectron napoleonis,Polyplectron napoleonis,Polyplectron napoleonis,Polyplectron napoleonis,Polyplectron napoleonis
Rheinardia ocellata,Rheinardia ocellata,Rheinardia ocellata,Rheinardia ocellata,Rheinardia ocellata
Argusianus argus,Argusianus argus,Argusianus argus,Argusianus argus,Argusianus argus
Afropavo congensis,Afropavo congensis,Afropavo congensis,Afropavo congensis,Afropavo congensis
Pavo cristatus,Pavo cristatus,Pavo cristatus,Pavo cristatus,Pavo cristatus
Pavo muticus,Pavo muticus,Pavo muticus,Pavo muticus,Pavo muticus
Falcipennis falcipennis,Falcipennis falcipennis,Dendragapus falcipennis,Falcipennis falcipennis,Falcipennis falcipennis
Canachites canadensis,Canachites canadensis,Dendragapus canadensis,Canachites canadensis,Canachites canadensis
Dendragapus obscurus,Dendragapus obscurus,Dendragapus obscurus,Dendragapus obscurus,Dendragapus obscurus
Lagopus lagopus,Lagopus lagopus,Lagopus lagopus,Lagopus lagopus,Lagopus lagopus
Lagopus muta,Lagopus muta,Lagopus muta,Lagopus muta,Lagopus muta
Lagopus leucura,Lagopus leucura,Lagopus leucura,Lagopus leucura,Lagopus leucura
Lyrurus tetrix,Lyrurus tetrix,Tetrao tetrix,Lyrurus tetrix,Lyrurus tetrix
Lyrurus mlokosiewiczi,Lyrurus mlokosiewiczi,Tetrao mlokosiewiczi,Lyrurus mlokosiewiczi,Lyrurus mlokosiewiczi
Tetrao urogallus,Tetrao urogallus,Tetrao urogallus,Tetrao urogallus,Tetrao urogallus
Tetrao urogalloides,Tetrao urogalloides,Tetrao parvirostris,Tetrao urogalloides,Tetrao urogalloides
Tetrastes bonasia,Tetrastes bonasia,Bonasa bonasia,Tetrastes bonasia,Tetrastes bonasia
Tetrastes sewerzowi,Tetrastes sewerzowi,Bonasa sewerzowi,Tetrastes sewerzowi,Tetrastes sewerzowi
Bonasa umbellus,Bonasa umbellus,Bonasa umbellus,Bonasa umbellus,Bonasa umbellus
Centrocercus urophasianus,Centrocercus urophasianus,Centrocercus urophasianus,Centrocercus urophasianus,Centrocercus urophasianus
Tympanuchus phasianellus,Tympanuchus phasianellus,Tympanuchus phasianellus,Tympanuchus phasianellus,Tympanuchus phasianellus
Tympanuchus cupido,Tympanuchus cupido,Tympanuchus cupido,Tympanuchus cupido,Tympanuchus cupido
Tympanuchus pallidicinctus,Tympanuchus pallidicinctus,Tympanuchus pallidicinctus,Tympanuchus pallidicinctus,Tympanuchus pallidicinctus
Meleagris gallopavo,Meleagris gallopavo,Meleagris gallopavo,Meleagris gallopavo,Meleagris gallopavo
Meleagris ocellata,Meleagris ocellata,Meleagris ocellata,Meleagris ocellata,Meleagris ocellata
Agelastes meleagrides,Agelastes meleagrides,Agelastes meleagrides,Agelastes meleagrides,Agelastes meleagrides
Agelastes niger,Agelastes niger,Agelastes niger,Agelastes niger,Agelastes niger
Numida meleagris,Numida meleagris,Numida meleagris,Numida meleagris,Numida meleagris
Guttera plumifera,Guttera plumifera,Guttera plumifera,Guttera plumifera,Guttera plumifera
Guttera pucherani,Guttera pucherani,Guttera pucherani,Guttera pucherani,Guttera pucherani
Acryllium vulturinum,Acryllium vulturinum,Acryllium vulturinum,Acryllium vulturinum,Acryllium vulturinum
Dendrortyx barbatus,Dendrortyx barbatus,Dendrortyx barbatus,Dendrortyx barbatus,Dendrortyx barbatus
Dendrortyx macroura,Dendrortyx macroura,Dendrortyx macroura,Dendrortyx macroura,Dendrortyx macroura
Dendrortyx leucophrys,Dendrortyx leucophrys,Dendrortyx leucophrys,Dendrortyx leucophrys,Dendrortyx leucophrys
Oreortyx pictus,Oreortyx pictus,Oreortyx pictus,Oreortyx pictus,Oreortyx pictus
Callipepla squamata,Callipepla squamata,Callipepla squamata,Callipepla squamata,Callipepla squamata
Callipepla douglasii,Callipepla douglasii,Callipepla douglasii,Callipepla douglasii,Callipepla douglasii
Callipepla californica,Callipepla californica,Callipepla californica,Callipepla californica,Callipepla californica
Callipepla gambelii,Callipepla gambelii,Callipepla gambelii,Callipepla gambelii,Callipepla gambelii
Philortyx fasciatus,Philortyx fasciatus,Philortyx fasciatus,Philortyx fasciatus,Philortyx fasciatus
Colinus virginianus,Colinus virginianus,Colinus virginianus,Colinus virginianus,Colinus virginianus
Colinus nigrogularis,Colinus nigrogularis,Colinus nigrogularis,Colinus nigrogularis,Colinus nigrogularis
Colinus cristatus,Colinus cristatus,Colinus cristatus,Colinus cristatus,Colinus cristatus
Odontophorus gujanensis,Odontophorus gujanensis,Odontophorus gujanensis,Odontophorus gujanensis,Odontophorus gujanensis
Odontophorus capueira,Odontophorus capueira,Odontophorus capueira,Odontophorus capueira,Odontophorus capueira
Odontophorus melanotis,Odontophorus melanotis,Odontophorus melanotis,Odontophorus melanotis,Odontophorus melanotis
Odontophorus erythrops,Odontophorus erythrops,Odontophorus erythrops,Odontophorus erythrops,Odontophorus erythrops
Odontophorus atrifrons,Odontophorus atrifrons,Odontophorus atrifrons,Odontophorus atrifrons,Odontophorus atrifrons
Odontophorus hyperythrus,Odontophorus hyperythrus,Odontophorus hyperythrus,Odontophorus hyperythrus,Odontophorus hyperythrus
Odontophorus melanonotus,Odontophorus melanonotus,Odontophorus melanonotus,Odontophorus melanonotus,Odontophorus melanonotus
Odontophorus speciosus,Odontophorus speciosus,Odontophorus speciosus,Odontophorus speciosus,Odontophorus speciosus
Odontophorus dialeucos,Odontophorus dialeucos,Odontophorus dialeucos,Odontophorus dialeucos,Odontophorus dialeucos
Odontophorus strophium,Odontophorus strophium,Odontophorus strophium,Odontophorus strophium,Odontophorus strophium
Odontophorus columbianus,Odontophorus columbianus,Odontophorus columbianus,Odontophorus columbianus,Odontophorus columbianus
Odontophorus leucolaemus,Odontophorus leucolaemus,Odontophorus leucolaemus,Odontophorus leucolaemus,Odontophorus leucolaemus
Odontophorus balliviani,Odontophorus balliviani,Odontophorus balliviani,Odontophorus balliviani,Odontophorus balliviani
Odontophorus stellatus,Odontophorus stellatus,Odontophorus stellatus,Odontophorus stellatus,Odontophorus stellatus
Odontophorus guttatus,Odontophorus guttatus,Odontophorus guttatus,Odontophorus guttatus,Odontophorus guttatus
Dactylortyx thoracicus,Dactylortyx thoracicus,Dactylortyx thoracicus,Dactylortyx thoracicus,Dactylortyx thoracicus
Cyrtonyx montezumae,Cyrtonyx montezumae,Cyrtonyx montezumae,Cyrtonyx montezumae,Cyrtonyx montezumae
Cyrtonyx ocellatus,Cyrtonyx ocellatus,Cyrtonyx ocellatus,Cyrtonyx ocellatus,Cyrtonyx ocellatus
Rhynchortyx cinctus,Rhynchortyx cinctus,Rhynchortyx cinctus,Rhynchortyx cinctus,Rhynchortyx cinctus
Anhima cornuta,Anhima cornuta,Anhima cornuta,Anhima cornuta,Anhima cornuta
Chauna chavaria,Chauna chavaria,Chauna chavaria,Chauna chavaria,Chauna chavaria
Chauna torquata,Chauna torquata,Chauna torquata,Chauna torquata,Chauna torquata
Anseranas semipalmata,Anseranas semipalmata,Anseranas semipalmata,Anseranas semipalmata,Anseranas semipalmata
Dendrocygna guttata,Dendrocygna guttata,Dendrocygna guttata,Dendrocygna guttata,Dendrocygna guttata
Dendrocygna eytoni,Dendrocygna eytoni,Dendrocygna eytoni,Dendrocygna eytoni,Dendrocygna eytoni
Dendrocygna bicolor,Dendrocygna bicolor,Dendrocygna bicolor,Dendrocygna bicolor,Dendrocygna bicolor
Dendrocygna arcuata,Dendrocygna arcuata,Dendrocygna arcuata,Dendrocygna arcuata,Dendrocygna arcuata
Dendrocygna javanica,Dendrocygna javanica,Dendrocygna javanica,Dendrocygna javanica,Dendrocygna javanica
Dendrocygna viduata,Dendrocygna viduata,Dendrocygna viduata,Dendrocygna viduata,Dendrocygna viduata
Dendrocygna arborea,Dendrocygna arborea,Dendrocygna arborea,Dendrocygna arborea,Dendrocygna arborea
Dendrocygna autumnalis,Dendrocygna autumnalis,Dendrocygna autumnalis,Dendrocygna autumnalis,Dendrocygna autumnalis
Thalassornis leuconotus,Thalassornis leuconotus,Thalassornis leuconotus,Thalassornis leuconotus,Thalassornis leuconotus
Nomonyx dominicus,Nomonyx dominicus,Nomonyx dominicus,Nomonyx dominicus,Nomonyx dominicus
Oxyura jamaicensis,Oxyura jamaicensis,Oxyura jamaicensis,Oxyura jamaicensis,Oxyura jamaicensis
Oxyura leucocephala,Oxyura leucocephala,Oxyura leucocephala,Oxyura leucocephala,Oxyura leucocephala
Oxyura maccoa,Oxyura maccoa,Oxyura maccoa,Oxyura maccoa,Oxyura maccoa
Oxyura vittata,Oxyura vittata,Oxyura vittata,Oxyura vittata,Oxyura vittata
Oxyura australis,Oxyura australis,Oxyura australis,Oxyura australis,Oxyura australis
Biziura lobata,Biziura lobata,Biziura lobata,Biziura lobata,Biziura lobata
Heteronetta atricapilla,Heteronetta atricapilla,Heteronetta atricapilla,Heteronetta atricapilla,Heteronetta atricapilla
Stictonetta naevosa,Stictonetta naevosa,Stictonetta naevosa,Stictonetta naevosa,Stictonetta naevosa
Cygnus olor,Cygnus olor,Cygnus olor,Cygnus olor,Cygnus olor
Cygnus atratus,Cygnus atratus,Cygnus atratus,Cygnus atratus,Cygnus atratus
Cygnus melancoryphus,Cygnus melancoryphus,Cygnus melancoryphus,Cygnus melancoryphus,Cygnus melancoryphus
Cygnus cygnus,Cygnus cygnus,Cygnus cygnus,Cygnus cygnus,Cygnus cygnus
Cygnus buccinator,Cygnus buccinator,Cygnus buccinator,Cygnus buccinator,Cygnus buccinator
Cygnus columbianus,Cygnus columbianus,Cygnus columbianus,Cygnus columbianus,Cygnus columbianus
Coscoroba coscoroba,Coscoroba coscoroba,Coscoroba coscoroba,Coscoroba coscoroba,Coscoroba coscoroba
Anser cygnoides,Anser cygnoides,Anser cygnoides,Anser cygnoid,Anser cygnoides
Anser brachyrhynchus,Anser brachyrhynchus,Anser brachyrhynchus,Anser brachyrhynchus,Anser brachyrhynchus
Anser fabalis,Anser fabalis,Anser fabalis,Anser fabalis,Anser fabalis
Anser albifrons,Anser albifrons,Anser albifrons,Anser albifrons,Anser albifrons
Anser erythropus,Anser erythropus,Anser erythropus,Anser erythropus,Anser erythropus
Anser anser,Anser anser,Anser anser,Anser anser,Anser anser
Anser indicus,Anser indicus,Anser indicus,Anser indicus,Anser indicus
Anser caerulescens,Anser caerulescens,Chen caerulescens,Anser caerulescens,Anser caerulescens
Anser rossii,Anser rossii,Chen rossii,Anser rossii,Anser rossii
Anser canagicus,Anser canagicus,Chen canagica,Anser canagicus,Anser canagicus
Branta sandvicensis,Branta sandvicensis,Branta sandvicensis,Branta sandvicensis,Branta sandvicensis
Branta canadensis,Branta canadensis,Branta canadensis,Branta canadensis,Branta canadensis
Branta leucopsis,Branta leucopsis,Branta leucopsis,Branta leucopsis,Branta leucopsis
Branta bernicla,Branta bernicla,Branta bernicla,Branta bernicla,Branta bernicla
Branta ruficollis,Branta ruficollis,Branta ruficollis,Branta ruficollis,Branta ruficollis
Cereopsis novaehollandiae,Cereopsis novaehollandiae,Cereopsis novaehollandiae,Cereopsis novaehollandiae,Cereopsis novaehollandiae
Plectropterus gambensis,Plectropterus gambensis,Plectropterus gambensis,Plectropterus gambensis,Plectropterus gambensis
Sarkidiornis melanotos,Sarkidiornis melanotos,Sarkidiornis melanotos,Sarkidiornis melanotos,Sarkidiornis melanotos
Tadorna ferruginea,Tadorna ferruginea,Tadorna ferruginea,Tadorna ferruginea,Tadorna ferruginea
Tadorna cana,Tadorna cana,Tadorna cana,Tadorna cana,Tadorna cana
Tadorna tadornoides,Tadorna tadornoides,Tadorna tadornoides,Tadorna tadornoides,Tadorna tadornoides
Tadorna variegata,Tadorna variegata,Tadorna variegata,Tadorna variegata,Tadorna variegata
Tadorna tadorna,Tadorna tadorna,Tadorna tadorna,Tadorna tadorna,Tadorna tadorna
Radjah radjah,Radjah radjah,Tadorna radjah,Radjah radjah,Radjah radjah
Malacorhynchus membranaceus,Malacorhynchus membranaceus,Malacorhynchus membranaceus,Malacorhynchus membranaceus,Malacorhynchus membranaceus
Alopochen aegyptiaca,Alopochen aegyptiaca,Alopochen aegyptiaca,Alopochen aegyptiaca,Alopochen aegyptiaca
Oressochen jubatus,Oressochen jubatus,Neochen jubata,Neochen jubata,Neochen jubata
Oressochen melanopterus,Oressochen melanopterus,Chloephaga melanoptera,Chloephaga melanoptera,Chloephaga melanoptera
Chloephaga picta,Chloephaga picta,Chloephaga picta,Chloephaga picta,Chloephaga picta
Chloephaga hybrida,Chloephaga hybrida,Chloephaga hybrida,Chloephaga hybrida,Chloephaga hybrida
Chloephaga poliocephala,Chloephaga poliocephala,Chloephaga poliocephala,Chloephaga poliocephala,Chloephaga poliocephala
Chloephaga rubidiceps,Chloephaga rubidiceps,Chloephaga rubidiceps,Chloephaga rubidiceps,Chloephaga rubidiceps
Cyanochen cyanoptera,Cyanochen cyanoptera,Cyanochen cyanoptera,Cyanochen cyanoptera,Cyanochen cyanoptera
Hymenolaimus malacorhynchos,Hymenolaimus malacorhynchos,Hymenolaimus malacorhynchos,Hymenolaimus malacorhynchos,Hymenolaimus malacorhynchos
Merganetta armata,Merganetta armata,Merganetta armata,Merganetta armata,Merganetta armata
Tachyeres pteneres,Tachyeres pteneres,Tachyeres pteneres,Tachyeres pteneres,Tachyeres pteneres
Tachyeres leucocephalus,Tachyeres leucocephalus,Tachyeres leucocephalus,Tachyeres leucocephalus,Tachyeres leucocephalus
Tachyeres brachypterus,Tachyeres brachypterus,Tachyeres brachypterus,Tachyeres brachypterus,Tachyeres brachypterus
Tachyeres patachonicus,Tachyeres patachonicus,Tachyeres patachonicus,Tachyeres patachonicus,Tachyeres patachonicus
Pteronetta hartlaubii,Pteronetta hartlaubii,Pteronetta hartlaubii,Pteronetta hartlaubii,Pteronetta hartlaubii
Cairina moschata,Cairina moschata,Cairina moschata,Cairina moschata,Cairina moschata
Asarcornis scutulata,Asarcornis scutulata,Cairina scutulata,Asarcornis scutulata,Asarcornis scutulata
Aix sponsa,Aix sponsa,Aix sponsa,Aix sponsa,Aix sponsa
Aix galericulata,Aix galericulata,Aix galericulata,Aix galericulata,Aix galericulata
Lophonetta specularioides,Lophonetta specularioides,Lophonetta specularioides,Lophonetta specularioides,Lophonetta specularioides
Nettapus pulchellus,Nettapus pulchellus,Nettapus pulchellus,Nettapus pulchellus,Nettapus pulchellus
Nettapus coromandelianus,Nettapus coromandelianus,Nettapus coromandelianus,Nettapus coromandelianus,Nettapus coromandelianus
Nettapus auritus,Nettapus auritus,Nettapus auritus,Nettapus auritus,Nettapus auritus
Callonetta leucophrys,Callonetta leucophrys,Callonetta leucophrys,Callonetta leucophrys,Callonetta leucophrys
Chenonetta jubata,Chenonetta jubata,Chenonetta jubata,Chenonetta jubata,Chenonetta jubata
Amazonetta brasiliensis,Amazonetta brasiliensis,Amazonetta brasiliensis,Amazonetta brasiliensis,Amazonetta brasiliensis
Salvadorina waigiuensis,Salvadorina waigiuensis,Salvadorina waigiuensis,Salvadorina waigiuensis,Salvadorina waigiuensis
Speculanas specularis,Speculanas specularis,Speculanas specularis,Speculanas specularis,Speculanas specularis
Anas capensis,Anas capensis,Anas capensis,Anas capensis,Anas capensis
Mareca strepera,Mareca strepera,Anas strepera,Mareca strepera,Mareca strepera
Mareca falcata,Mareca falcata,Anas falcata,Mareca falcata,Mareca falcata
Mareca penelope,Mareca penelope,Anas penelope,Mareca penelope,Mareca penelope
Mareca americana,Mareca americana,Anas americana,Mareca americana,Mareca americana
Mareca sibilatrix,Mareca sibilatrix,Anas sibilatrix,Mareca sibilatrix,Mareca sibilatrix
Anas sparsa,Anas sparsa,Anas sparsa,Anas sparsa,Anas sparsa
Anas rubripes,Anas rubripes,Anas rubripes,Anas rubripes,Anas rubripes
Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos
Anas poecilorhyncha,Anas poecilorhyncha,Anas poecilorhyncha,Anas poecilorhyncha,Anas poecilorhyncha
Anas superciliosa,Anas superciliosa,Anas superciliosa,Anas superciliosa,Anas superciliosa
Anas luzonica,Anas luzonica,Anas luzonica,Anas luzonica,Anas luzonica
Anas undulata,Anas undulata,Anas undulata,Anas undulata,Anas undulata
Anas melleri,Anas melleri,Anas melleri,Anas melleri,Anas melleri
Spatula discors,Spatula discors,Anas discors,Spatula discors,Spatula discors
Spatula cyanoptera,Spatula cyanoptera,Anas cyanoptera,Spatula cyanoptera,Spatula cyanoptera
Spatula smithii,Spatula smithii,Anas smithii,Spatula smithii,Spatula smithii
Spatula platalea,Spatula platalea,Anas platalea,Spatula platalea,Spatula platalea
Spatula rhynchotis,Spatula rhynchotis,Anas rhynchotis,Spatula rhynchotis,Spatula rhynchotis
Spatula clypeata,Spatula clypeata,Anas clypeata,Spatula clypeata,Spatula clypeata
Anas bernieri,Anas bernieri,Anas bernieri,Anas bernieri,Anas bernieri
Anas gibberifrons,Anas gibberifrons,Anas gibberifrons,Anas gibberifrons,Anas gibberifrons
Anas castanea,Anas castanea,Anas castanea,Anas castanea,Anas castanea
Anas aucklandica,Anas aucklandica,Anas aucklandica,Anas aucklandica,Anas aucklandica
Anas bahamensis,Anas bahamensis,Anas bahamensis,Anas bahamensis,Anas bahamensis
Anas erythrorhyncha,Anas erythrorhyncha,Anas erythrorhyncha,Anas erythrorhyncha,Anas erythrorhyncha
Anas flavirostris,Anas flavirostris,Anas flavirostris,Anas flavirostris,Anas flavirostris
Anas acuta,Anas acuta,Anas acuta,Anas acuta,Anas acuta
Anas georgica,Anas georgica,Anas georgica,Anas georgica,Anas georgica
Spatula querquedula,Spatula querquedula,Anas querquedula,Spatula querquedula,Spatula querquedula
Sibirionetta formosa,Sibirionetta formosa,Anas formosa,Sibirionetta formosa,Sibirionetta formosa
Anas crecca,Anas crecca,Anas crecca,Anas crecca,Anas crecca
Spatula versicolor,Spatula versicolor,Anas versicolor,Spatula versicolor,Spatula versicolor
Spatula hottentota,Spatula hottentota,Anas hottentota,Spatula hottentota,Spatula hottentota
Marmaronetta angustirostris,Marmaronetta angustirostris,Marmaronetta angustirostris,Marmaronetta angustirostris,Marmaronetta angustirostris
Netta rufina,Netta rufina,Netta rufina,Netta rufina,Netta rufina
Netta peposaca,Netta peposaca,Netta peposaca,Netta peposaca,Netta peposaca
Netta erythrophthalma,Netta erythrophthalma,Netta erythrophthalma,Netta erythrophthalma,Netta erythrophthalma
Aythya ferina,Aythya ferina,Aythya ferina,Aythya ferina,Aythya ferina
